City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
196,xinxiang,35.3089,113.8672,282.08,90,53,1.37,CN,1679342176
197,vallenar,-28.5708,-70.7581,301.61,42,7,4.67,CL,1679342176
198,bagotville,-28.9833,153.4167,294.06,99,50,3.2,AU,1679342176
199,porbandar,21.6422,69.6093,297.33,78,0,2.63,IN,1679342177
200,torbay,47.6666,-52.7314,272.91,70,75,21.09,CA,1679342178
201,khatanga,71.9667,102.5,236.27,100,55,1.65,RU,1679342178
202,plettenberg bay,-34.0527,23.3716,291.07,89,11,0.83,ZA,1679342178
203,hargeysa,9.56,44.065,295.98,67,23,2.66,SO,1679342179
204,hasaki,35.7333,140.8333,284.37,72,4,4.0,JP,1679342180
205,bathsheba,13.2167,-59.5167,302.49,58,20,11.83,BB,1679342180
206,buraydah,26.326,43.975,290.4,29,0,4.92,SA,1679342017
207,mandurah,-32.55,115.7,298.71,52,0,5.1,AU,1679342181
208,sisimiut,66.9395,-53.6735,266.58,87,19,5.06,GL,1679342181
209,broken hill,-31.95,141.4333,292.66,24,100,6.83,AU,1679342182
210,kamenka,51.3223,42.7678,280.46,63,96,3.23,RU,1679342182
211,samarai,-10.6167,150.6667,301.34,77,4,4.68,PG,1679342183
212,tabou,4.423,-7.3528,299.56,85,50,4.41,CI,1679342183
213,arman,59.7,150.1667,250.37,85,13,3.76,RU,1679342184
214,ahipara,-35.1667,173.1667,290.92,82,67,3.14,NZ,1679342185
215,lorengau,-2.0226,147.2712,300.44,80,90,3.0,PG,1679342188
216,berbera,10.4396,45.0143,301.66,68,22,1.5,SO,1679342189
217,praia da vitoria,38.7333,-27.0667,290.29,77,40,3.86,PT,1679342048
218,san patricio,28.017,-97.5169,291.08,64,100,5.98,US,1679342191
219,takoradi,4.8845,-1.7554,300.33,83,77,4.93,GH,1679342191
220,bandarbeyla,9.4942,50.8122,300.19,85,83,5.93,SO,1679342192
221,kaitangata,-46.2817,169.8464,282.41,88,100,10.32,NZ,1679342192
222,sao joao da barra,-21.6403,-41.0511,303.2,81,11,6.66,BR,1679342193
223,luderitz,-26.6481,15.1594,289.94,77,0,4.08,NA,1679342194
224,saint-georges,12.0564,-61.7485,302.97,58,40,10.29,GD,1679342194
225,saint-joseph,-21.3667,55.6167,297.36,83,100,2.71,RE,1679342194
226,isangel,-19.55,169.2667,299.16,80,93,6.57,VU,1679342195
227,san cristobal,7.7669,-72.225,299.25,33,41,0.85,VE,1679342195
228,bontang,0.1333,117.5,299.04,83,100,1.91,ID,1679342196
229,jibuti,11.5,42.5,299.99,57,13,1.53,DJ,1679342196
230,ailigandi,9.2333,-78.0167,300.55,73,100,4.61,PA,1679342197
231,catuday,16.2923,119.8062,296.99,76,9,1.07,PH,1679342197
232,souillac,-20.5167,57.5167,298.36,94,40,0.51,MU,1679342197
233,pathein,16.7833,94.7333,297.58,73,72,4.06,MM,1679342198
234,playas,-2.6333,-80.3833,300.89,73,11,3.78,EC,1679342198
235,udachnyy,66.4167,112.4,233.77,100,75,1.96,RU,1679341911
236,poum,-20.2333,164.0167,298.49,73,21,5.23,NC,1679342199
237,sananduva,-27.9497,-51.8067,296.6,70,68,3.03,BR,1679342200
238,guerrero negro,27.9769,-114.0611,294.55,55,96,5.41,MX,1679342200
239,annau,37.8876,58.516,286.87,47,40,1.03,TM,1679342200
240,deputatskiy,69.3,139.9,243.94,92,100,3.29,RU,1679342201
241,leshukonskoye,64.8989,45.7622,273.68,98,100,5.01,RU,1679342201
242,laguna,38.421,-121.4238,288.74,63,0,6.17,US,1679342202
243,biala podlaska,52.0324,23.1165,282.66,91,100,3.97,PL,1679342202
244,san luis,-33.295,-66.3356,299.77,57,88,2.69,AR,1679342167
245,inongo,-1.95,18.2667,296.4,89,79,1.34,CD,1679342203
246,nantucket,41.2835,-70.0995,280.37,58,0,10.29,US,1679341917
247,piombino,42.9348,10.5221,287.62,80,6,0.89,IT,1679341985
248,kruisfontein,-34.0033,24.7314,291.42,67,0,2.73,ZA,1679342204
249,batemans bay,-35.7167,150.1833,290.43,72,100,1.78,AU,1679342009
250,north bend,43.4065,-124.2243,282.73,71,100,5.14,US,1679342204
251,marathon,44.9,-89.7668,276.99,50,0,1.54,US,1679342205
252,khandbari,27.3747,87.2039,287.38,93,100,0.4,NP,1679342205
253,tallahassee,30.4383,-84.2807,288.89,31,20,3.6,US,1679342012
254,sydney,-33.8679,151.2073,292.8,72,75,7.72,AU,1679341740
255,carutapera,-1.195,-46.02,297.41,87,100,2.11,BR,1679342206
256,beloha,-25.1667,45.05,296.08,87,38,6.07,MG,1679342206
257,yatou,37.15,122.3833,277.63,79,21,1.95,CN,1679342207
258,mansa,29.9833,75.3833,286.59,97,100,2.57,IN,1679342208
259,kolokani,13.5728,-8.0339,302.83,11,0,4.01,ML,1679342209
260,soni,-4.85,38.3667,290.12,94,77,0.67,TZ,1679342210
261,vytegra,61.0064,36.4481,275.99,96,100,4.12,RU,1679342212
262,houston,29.7633,-95.3633,288.38,49,100,7.72,US,1679342165
263,asau,46.4333,26.4,274.66,69,99,1.42,RO,1679342212
264,cherdyn,60.403,56.4787,270.09,96,100,2.81,RU,1679342213
265,corvallis,44.5646,-123.262,282.51,88,100,7.2,US,1679341932
266,shieli,44.1667,66.75,279.11,47,77,5.7,KZ,1679342214
